T(K)	FeO	Fe2O3	Na2O	MgO	Al2O3	SiO2	K2O	CaO	TiO2	Cr2O3	MnO	P2O5	Na-Mg	Na-Al	Na-Si	Na-K	Na-Ca	Na-Ti	Mg-Al	Mg-Si	Mg-K	Mg-Ca	Mg-Ti	Al-Si	Al-K	Al-Ca	Al-Ti	Si-K	Si-Ca	Si-Ti	K-Ca	K-Ti	Ca-Ti	LNGAMMA
1480	0.069217223	0.003943569	0.052222243	0.133645761	0.097494183	0.537347989	0.006202433	0.090023494	0.008783114	0	0.001119991	0	0.071814281	0.052388303	0.288742862	0.003332865	0.048373944	0.004719589	0.000604701	0.003332865	3.85E-05	0.000558365	5.45E-05	0.048373944	0.000558365	0.008104229	0.000790687	5.45E-05	0.000790687	7.71E-05	0	0	9.84E-06	2.351586869
1480	0.074874308	0.007872904	0.041165414	0.125399438	0.090375156	0.559151723	0.004966794	0.086288049	0.008848415	0	0.001057798	0	0.070117312	0.050533424	0.31265065	0.002777191	0.048248111	0.004947607	0.000448875	0.002777191	2.47E-05	0.000428575	4.39E-05	0.048248111	0.000428575	0.007445627	0.000763512	4.39E-05	0.000763512	7.83E-05	0	0	9.36E-06	1.608008835
1469	0.082223351	0.005748759	0.049743301	0.138909561	0.094204817	0.519694067	0.006770816	0.091976922	0.00918574	0	0.001542666	0	0.072190475	0.048957684	0.270081923	0.003518753	0.047799861	0.004773774	0.000637844	0.003518753	4.58E-05	0.000622759	6.22E-05	0.047799861	0.000622759	0.008459754	0.000844876	6.22E-05	0.000844876	8.44E-05	0	0	1.42E-05	2.17904222
1473	0.075427737	0.006612073	0.043346158	0.129146823	0.086809833	0.561469696	0.005058368	0.082458425	0.009114282	0	0.000556606	0	0.072512027	0.04874109	0.31524822	0.00284012	0.046297907	0.005117393	0.000439116	0.00284012	2.56E-05	0.000417105	4.61E-05	0.046297907	0.000417105	0.006799392	0.000751549	4.61E-05	0.000751549	8.31E-05	0	0	5.07E-06	1.886748785
1471	0.071785286	0.004972813	0.04444158	0.125066775	0.087140778	0.567199148	0.005672407	0.084199532	0.007880999	0	0.001640682	0	0.070937768	0.049426175	0.321714873	0.003217384	0.047757903	0.004470096	0.000494298	0.003217384	3.22E-05	0.000477614	4.47E-05	0.047757903	0.000477614	0.007089561	0.000663576	4.47E-05	0.000663576	6.21E-05	0	0	1.29E-05	2.174561524
1836	0.075695072	0.007197736	0.043853764	0.141199774	0.093885764	0.530135863	0.006476968	0.090526375	0.009832046	0	0.001196638	0	0.074855064	0.04977221	0.281044034	0.003433673	0.047991278	0.00521232	0.000608095	0.003433673	4.20E-05	0.000586336	6.37E-05	0.047991278	0.000586336	0.008195024	0.00089006	6.37E-05	0.00089006	9.67E-05	0	0	1.18E-05	-0.563642008
1633	0.08007621	0.006326086	0.048030258	0.140917994	0.093949754	0.52216104	0.006284888	0.091299353	0.009063547	0	0.001890869	0	0.073581886	0.049056901	0.272652152	0.003281723	0.047672965	0.004732631	0.000590464	0.003281723	3.95E-05	0.000573806	5.70E-05	0.047672965	0.000573806	0.008335572	0.000827496	5.70E-05	0.000827496	8.21E-05	0	0	1.71E-05	1.151792149
1635	0.066578943	0.004676307	0.04308667	0.118481698	0.087319879	0.583371815	0.005747065	0.081481465	0.007759804	0	0.001496354	0	0.069118883	0.050939956	0.340322674	0.003352676	0.04753399	0.004526851	0.000501833	0.003352676	3.30E-05	0.000468279	4.46E-05	0.04753399	0.000468279	0.006639229	0.00063228	4.46E-05	0.00063228	6.02E-05	0	0	1.16E-05	1.281919129
1636	0.069618385	0.004389799	0.041755354	0.122956648	0.085997137	0.575647926	0.005363003	0.085691662	0.008580086	0	0	0	0.070779739	0.049504074	0.331370535	0.003087202	0.049328228	0.004939109	0.000461203	0.003087202	2.88E-05	0.000459565	4.60E-05	0.049328228	0.000459565	0.007343061	0.000735242	4.60E-05	0.000735242	7.36E-05	0	0	0	1.403128831
1478	0.08003585	0.005621481	0.038584646	0.143505912	0.102758687	0.479463852	0.007037529	0.131835286	0.009946222	0	0.001210534	0	0.068805898	0.049269076	0.229885586	0.003374241	0.063210254	0.004768854	0.000723167	0.003374241	4.95E-05	0.000927795	7.00E-05	0.063210254	0.000927795	0.017380543	0.001311263	7.00E-05	0.001311263	9.89E-05	0	0	1.20E-05	2.120748783
1478	0.081407538	0.006154947	0.053415922	0.146570189	0.09976908	0.467464103	0.006372715	0.127917842	0.010016063	0	0.000911602	0	0.068516302	0.046638463	0.218522688	0.002979016	0.059796999	0.00468215	0.0006358	0.002979016	4.06E-05	0.000815184	6.38E-05	0.059796999	0.000815184	0.016362974	0.001281233	6.38E-05	0.001281233	0.000100322	0	0	9.13E-06	2.03283691
1473	0.079095163	0.004533472	0.048388187	0.135144861	0.096901826	0.457244154	0.006652317	0.161925002	0.009409477	0	0.000705541	0	0.061794198	0.044307793	0.209072216	0.003041733	0.074039261	0.004302428	0.000644622	0.003041733	4.43E-05	0.001077176	6.26E-05	0.074039261	0.001077176	0.026219706	0.00152363	6.26E-05	0.00152363	8.85E-05	0	0	6.64E-06	2.387079889
